w,c1=c2,epoch,g_best
0.1,3.5,12,28849.2
0.1,3.5,13,34795.7
0.1,3.5,14,34353.1
0.1,3.5,15,30403.2
0.1,3.5,16,30561.3
0.1,3.5,17,33601.2
0.1,3.5,18,34784.4
0.1,3.5,19,31634.2
0.1,3.5,20,33548.3
0.1,3.5,21,29540.1
0.1,3.5,22,29939.7
0.1,3.5,23,31626
0.1,3.5,24,27599.5
0.1,3.5,25,21346.4
0.1,3.5,26,32111.1
0.1,3.5,27,33870.3
0.1,3.5,28,25842.1
0.1,3.5,29,34741
0.2,0.5,0,11751.6
0.2,0.5,1,6537.13
0.2,0.5,2,8253.56
0.2,0.5,3,6290.64
0.2,0.5,4,4281.19
0.2,0.5,5,8461.66
0.2,0.5,6,4692.85
0.2,0.5,7,7334.19
0.2,0.5,8,4826.96
0.2,0.5,9,9419.76
0.2,0.5,10,3215.73
0.2,0.5,11,5029.12
0.2,0.5,12,6507.2
0.2,0.5,13,4701.49
0.2,0.5,14,6041.15
0.2,0.5,15,6354.91
0.2,0.5,16,10780.4
0.2,0.5,17,10900.9
0.2,0.5,18,10741.3
0.2,0.5,19,5755.57
0.2,0.5,20,8248.58
0.2,0.5,21,9814.58
0.2,0.5,22,6158.67
0.2,0.5,23,5946.78
0.2,0.5,24,7750.46
0.2,0.5,25,4923.83
0.2,0.5,26,5230.56
0.2,0.5,27,7691.96
0.2,0.5,28,9422.5
0.2,0.5,29,6430.24
0.2,1,0,6217.05
0.2,1,1,7141.91
0.2,1,2,12126.8
0.2,1,3,13863.3
0.2,1,4,12807
0.2,1,5,6959.62
0.2,1,6,10311.9
0.2,1,7,7225.52
0.2,1,8,10475.1
0.2,1,9,11102.4
0.2,1,10,9719
0.2,1,11,6885.78
0.2,1,12,5096.61
0.2,1,13,5533.69
0.2,1,14,8683.13
0.2,1,15,8459.5
0.2,1,16,10297.3
0.2,1,17,6124.56
0.2,1,18,10114.3
0.2,1,19,13052.8
0.2,1,20,11311
0.2,1,21,10661.2
0.2,1,22,10771.3
0.2,1,23,10901.5
0.2,1,24,9837.01
0.2,1,25,10595.3
0.2,1,26,7429.65
0.2,1,27,14530.8
0.2,1,28,9951.37
0.2,1,29,7850.82
0.2,1.5,0,817.816
0.2,1.5,1,1505.39
0.2,1.5,2,3528.83
0.2,1.5,3,2938.9
0.2,1.5,4,3500.05
0.2,1.5,5,1070.53
0.2,1.5,6,1860.99
0.2,1.5,7,1031.67
