w: 0.1, c1=c2: 0.5, epoch: 0, g_best: 205.331
w: 0.1, c1=c2: 0.5, epoch: 1, g_best: 234.627
w: 0.1, c1=c2: 0.5, epoch: 2, g_best: 245.456
w: 0.1, c1=c2: 0.5, epoch: 3, g_best: 225.85
w: 0.1, c1=c2: 0.5, epoch: 4, g_best: 164.386
w: 0.1, c1=c2: 0.5, epoch: 5, g_best: 166.336
w: 0.1, c1=c2: 0.5, epoch: 6, g_best: 136.663
w: 0.1, c1=c2: 0.5, epoch: 7, g_best: 262.407
w: 0.1, c1=c2: 0.5, epoch: 8, g_best: 216.923
w: 0.1, c1=c2: 0.5, epoch: 9, g_best: 208.854
w: 0.1, c1=c2: 0.5, epoch: 10, g_best: 227.861
w: 0.1, c1=c2: 0.5, epoch: 11, g_best: 217.08
w: 0.1, c1=c2: 0.5, epoch: 12, g_best: 227.451
w: 0.1, c1=c2: 0.5, epoch: 13, g_best: 185.523
w: 0.1, c1=c2: 0.5, epoch: 14, g_best: 173.948
w: 0.1, c1=c2: 0.5, epoch: 15, g_best: 155.754
w: 0.1, c1=c2: 0.5, epoch: 16, g_best: 180.944
w: 0.1, c1=c2: 0.5, epoch: 17, g_best: 225.939
w: 0.1, c1=c2: 0.5, epoch: 18, g_best: 175.349
w: 0.1, c1=c2: 0.5, epoch: 19, g_best: 181.199
w: 0.1, c1=c2: 0.5, epoch: 20, g_best: 216.957
w: 0.1, c1=c2: 0.5, epoch: 21, g_best: 207.874
w: 0.1, c1=c2: 0.5, epoch: 22, g_best: 190.563
w: 0.1, c1=c2: 0.5, epoch: 23, g_best: 210.983
w: 0.1, c1=c2: 0.5, epoch: 24, g_best: 190.45
w: 0.1, c1=c2: 0.5, epoch: 25, g_best: 208.869
w: 0.1, c1=c2: 0.5, epoch: 26, g_best: 178.21
w: 0.1, c1=c2: 0.5, epoch: 27, g_best: 241.696
w: 0.1, c1=c2: 0.5, epoch: 28, g_best: 220.046
w: 0.1, c1=c2: 0.5, epoch: 29, g_best: 222.605
w: 0.1, c1=c2: 1, epoch: 0, g_best: 175.117
w: 0.1, c1=c2: 1, epoch: 1, g_best: 195.603
w: 0.1, c1=c2: 1, epoch: 2, g_best: 142.412
w: 0.1, c1=c2: 1, epoch: 3, g_best: 202.906
w: 0.1, c1=c2: 1, epoch: 4, g_best: 179.496
w: 0.1, c1=c2: 1, epoch: 5, g_best: 153.801
w: 0.1, c1=c2: 1, epoch: 6, g_best: 164.129
w: 0.1, c1=c2: 1, epoch: 7, g_best: 152.431
w: 0.1, c1=c2: 1, epoch: 8, g_best: 145
w: 0.1, c1=c2: 1, epoch: 9, g_best: 205.625
w: 0.1, c1=c2: 1, epoch: 10, g_best: 186.335
w: 0.1, c1=c2: 1, epoch: 11, g_best: 144.585
w: 0.1, c1=c2: 1, epoch: 12, g_best: 153.168
w: 0.1, c1=c2: 1, epoch: 13, g_best: 150.152
w: 0.1, c1=c2: 1, epoch: 14, g_best: 156.644
w: 0.1, c1=c2: 1, epoch: 15, g_best: 201.861
w: 0.1, c1=c2: 1, epoch: 16, g_best: 171.04
w: 0.1, c1=c2: 1, epoch: 17, g_best: 162.666
w: 0.1, c1=c2: 1, epoch: 18, g_best: 216.424
w: 0.1, c1=c2: 1, epoch: 19, g_best: 175.51
w: 0.1, c1=c2: 1, epoch: 20, g_best: 219.577
w: 0.1, c1=c2: 1, epoch: 21, g_best: 144.444
w: 0.1, c1=c2: 1, epoch: 22, g_best: 171.035
w: 0.1, c1=c2: 1, epoch: 23, g_best: 185.66
w: 0.1, c1=c2: 1, epoch: 24, g_best: 176.124
w: 0.1, c1=c2: 1, epoch: 25, g_best: 182.127
w: 0.1, c1=c2: 1, epoch: 26, g_best: 162.332
w: 0.1, c1=c2: 1, epoch: 27, g_best: 164.797
w: 0.1, c1=c2: 1, epoch: 28, g_best: 222.039
w: 0.1, c1=c2: 1, epoch: 29, g_best: 164.707
w: 0.1, c1=c2: 1.5, epoch: 0, g_best: 118.266
w: 0.1, c1=c2: 1.5, epoch: 1, g_best: 114.711
w: 0.1, c1=c2: 1.5, epoch: 2, g_best: 124.407
w: 0.1, c1=c2: 1.5, epoch: 3, g_best: 132.249
w: 0.1, c1=c2: 1.5, epoch: 4, g_best: 116.536
w: 0.1, c1=c2: 1.5, epoch: 5, g_best: 132.224
w: 0.1, c1=c2: 1.5, epoch: 6, g_best: 125.156
w: 0.1, c1=c2: 1.5, epoch: 7, g_best: 124.018
w: 0.1, c1=c2: 1.5, epoch: 8, g_best: 100.726
w: 0.1, c1=c2: 1.5, epoch: 9, g_best: 115.571
w: 0.1, c1=c2: 1.5, epoch: 10, g_best: 117.344
w: 0.1, c1=c2: 1.5, epoch: 11, g_best: 149.743
w: 0.1, c1=c2: 1.5, epoch: 12, g_best: 101.724
w: 0.1, c1=c2: 1.5, epoch: 13, g_best: 136.174
w: 0.1, c1=c2: 1.5, epoch: 14, g_best: 152.151
w: 0.1, c1=c2: 1.5, epoch: 15, g_best: 110.4
w: 0.1, c1=c2: 1.5, epoch: 16, g_best: 118.161
w: 0.1, c1=c2: 1.5, epoch: 17, g_best: 149.511
w: 0.1, c1=c2: 1.5, epoch: 18, g_best: 141.339
w: 0.1, c1=c2: 1.5, epoch: 19, g_best: 80.406
w: 0.1, c1=c2: 1.5, epoch: 20, g_best: 135.022
w: 0.1, c1=c2: 1.5, epoch: 21, g_best: 142.851
w: 0.1, c1=c2: 1.5, epoch: 22, g_best: 132.847
w: 0.1, c1=c2: 1.5, epoch: 23, g_best: 101.878
w: 0.1, c1=c2: 1.5, epoch: 24, g_best: 96.9741
w: 0.1, c1=c2: 1.5, epoch: 25, g_best: 164.334
w: 0.1, c1=c2: 1.5, epoch: 26, g_best: 134.444
w: 0.1, c1=c2: 1.5, epoch: 27, g_best: 110.523
w: 0.1, c1=c2: 1.5, epoch: 28, g_best: 101.496
w: 0.1, c1=c2: 1.5, epoch: 29, g_best: 191.051
w: 0.1, c1=c2: 2, epoch: 0, g_best: 58.7024
w: 0.1, c1=c2: 2, epoch: 1, g_best: 90.541
w: 0.1, c1=c2: 2, epoch: 2, g_best: 65.6672
w: 0.1, c1=c2: 2, epoch: 3, g_best: 103.476
w: 0.1, c1=c2: 2, epoch: 4, g_best: 58.7025
w: 0.1, c1=c2: 2, epoch: 5, g_best: 87.5562
w: 0.1, c1=c2: 2, epoch: 6, g_best: 51.7378
w: 0.1, c1=c2: 2, epoch: 7, g_best: 81.5865
w: 0.1, c1=c2: 2, epoch: 8, g_best: 79.5966
w: 0.1, c1=c2: 2, epoch: 9, g_best: 58.7025
w: 0.1, c1=c2: 2, epoch: 10, g_best: 79.5965
w: 0.1, c1=c2: 2, epoch: 11, g_best: 81.5865
w: 0.1, c1=c2: 2, epoch: 12, g_best: 77.6066
