w,c1=c2,epoch,g_best
0.1,0.5,0,205.331
0.1,0.5,1,234.627
0.1,0.5,2,245.456
0.1,0.5,3,225.85
0.1,0.5,4,164.386
0.1,0.5,5,166.336
0.1,0.5,6,136.663
0.1,0.5,7,262.407
0.1,0.5,8,216.923
0.1,0.5,9,208.854
0.1,0.5,10,227.861
0.1,0.5,11,217.08
0.1,0.5,12,227.451
0.1,0.5,13,185.523
0.1,0.5,14,173.948
0.1,0.5,15,155.754
0.1,0.5,16,180.944
0.1,0.5,17,225.939
0.1,0.5,18,175.349
0.1,0.5,19,181.199
0.1,0.5,20,216.957
0.1,0.5,21,207.874
0.1,0.5,22,190.563
0.1,0.5,23,210.983
0.1,0.5,24,190.45
0.1,0.5,25,208.869
0.1,0.5,26,178.21
0.1,0.5,27,241.696
0.1,0.5,28,220.046
0.1,0.5,29,222.605
0.1,1,0,175.117
0.1,1,1,195.603
0.1,1,2,142.412
0.1,1,3,202.906
0.1,1,4,179.496
0.1,1,5,153.801
0.1,1,6,164.129
0.1,1,7,152.431
0.1,1,8,145
0.1,1,9,205.625
0.1,1,10,186.335
0.1,1,11,144.585
0.1,1,12,153.168
0.1,1,13,150.152
0.1,1,14,156.644
0.1,1,15,201.861
0.1,1,16,171.04
0.1,1,17,162.666
0.1,1,18,216.424
0.1,1,19,175.51
0.1,1,20,219.577
0.1,1,21,144.444
0.1,1,22,171.035
0.1,1,23,185.66
0.1,1,24,176.124
0.1,1,25,182.127
0.1,1,26,162.332
0.1,1,27,164.797
0.1,1,28,222.039
0.1,1,29,164.707
0.1,1.5,0,118.266
0.1,1.5,1,114.711
0.1,1.5,2,124.407
0.1,1.5,3,132.249
0.1,1.5,4,116.536
0.1,1.5,5,132.224
0.1,1.5,6,125.156
0.1,1.5,7,124.018
0.1,1.5,8,100.726
0.1,1.5,9,115.571
0.1,1.5,10,117.344
0.1,1.5,11,149.743
0.1,1.5,12,101.724
0.1,1.5,13,136.174
0.1,1.5,14,152.151
0.1,1.5,15,110.4
0.1,1.5,16,118.161
0.1,1.5,17,149.511
0.1,1.5,18,141.339
0.1,1.5,19,80.406
0.1,1.5,20,135.022
0.1,1.5,21,142.851
0.1,1.5,22,132.847
0.1,1.5,23,101.878
0.1,1.5,24,96.9741
0.1,1.5,25,164.334
0.1,1.5,26,134.444
0.1,1.5,27,110.523
0.1,1.5,28,101.496
0.1,1.5,29,191.051
0.1,2,0,58.7024
0.1,2,1,90.541
0.1,2,2,65.6672
0.1,2,3,103.476
0.1,2,4,58.7025
0.1,2,5,87.5562
0.1,2,6,51.7378
0.1,2,7,81.5865
0.1,2,8,79.5966
0.1,2,9,58.7025
0.1,2,10,79.5965
0.1,2,11,81.5865
0.1,2,12,77.6066
0.1,2,13,52.7327
0.1,2,14,57.7075
0.1,2,15,86.5612
0.1,2,16,81.5865
0.1,2,17,76.6117
0.1,2,18,48.7529
0.1,2,19,71.6369
0.1,2,20,77.6069
0.1,2,21,70.6419
0.1,2,22,80.5915
0.1,2,23,49.7479
0.1,2,24,95.5159
0.1,2,25,72.6318
0.1,2,26,52.7328
0.1,2,27,71.6369
