pc,pm,epoch,best_fitness,x1,x2
0.1,0.01,0.0,38.79373089334214,11.617691596335955,5.7250882964260565
0.1,0.01,1.0,38.75908963713412,11.628051362610028,5.722290800411908
0.1,0.01,2.0,38.84837322867767,11.625807811370406,5.7246387797560985
0.1,0.01,3.0,38.67600880420473,11.616323171265085,5.7279677973198435
0.1,0.01,4.0,38.83762259974492,11.622050366892791,5.724683931274012
0.1,0.01,5.0,38.76496900731533,11.632988207358713,5.726791664742923
0.1,0.01,6.0,38.78736817383357,11.63125130934395,5.723333510435069
0.1,0.01,7.0,38.61456265345036,12.097701324082898,5.724505049228985
0.1,0.01,8.0,38.836032963471325,11.62224419199288,5.725658587273268
0.1,0.01,9.0,38.44870081595243,11.631335932297727,5.427620550582522
0.1,0.01,10.0,38.61601421213604,12.097696824806862,5.7246680565892145
0.1,0.01,11.0,38.39121929717757,12.094339372434254,5.723126851859792
0.1,0.01,12.0,38.69117432773099,11.626358241925777,5.62274712664841
0.1,0.01,13.0,38.488207206369076,11.62468521720678,5.422649370262306
0.1,0.01,14.0,38.28569762240207,11.131924184409309,5.726650425442202
0.1,0.01,15.0,37.96217630203477,11.627836740676038,5.119731070881035
0.1,0.01,16.0,38.60652137750063,11.627838251298279,5.628589053174973
0.1,0.01,17.0,38.17014806917151,11.622903577805214,5.632292767307381
0.1,0.01,18.0,38.64845488268954,11.624245651454158,5.524882378640842
0.1,0.01,19.0,38.79355485128397,11.626037179184014,5.722805795207323
0.1,0.01,20.0,38.83737494938434,11.62325059559051,5.724198051750115
0.1,0.01,21.0,38.8122477520553,11.624915394686278,5.726871121661572
0.1,0.01,22.0,38.64331827690908,11.623985827733978,5.524386065830453
0.1,0.01,23.0,38.42541135758771,12.094264889099176,5.7245318393178675
0.1,0.01,24.0,38.50171770252663,11.615911132110435,5.6288912364192925
0.1,0.01,25.0,38.27597521692329,11.116669755102967,5.724388154237117
0.1,0.01,26.0,38.70894829257775,11.614406885072174,5.723477065517429
0.1,0.01,27.0,38.373333554996044,11.62997560153284,5.731457836515633
0.1,0.01,28.0,38.70424449963483,11.618557834576492,5.624704876140029
0.1,0.01,29.0,38.674677048502744,11.617157619384205,5.624043393860082
0.1,0.02,0.0,38.841637903967694,11.62723350969963,5.72431317888358
0.1,0.02,1.0,38.77637483776954,11.634372591717673,5.725506725896643
0.1,0.02,2.0,38.74463996174955,11.626079056941112,5.6243480373768175
0.1,0.02,3.0,38.8441400084147,11.627914606553157,5.72534147088041
0.1,0.02,4.0,38.49706218151211,11.642070632779129,5.6255810063053
0.1,0.02,5.0,38.720214312453386,11.620165971398059,5.625609759263301
0.1,0.02,6.0,38.81966253910049,11.630968974172339,5.725610584176534
0.1,0.02,7.0,38.579494073106545,11.630773146437408,5.720363261837743
0.1,0.02,8.0,38.687138087509084,11.624663826664932,5.627418361190649
0.1,0.02,9.0,38.52706380295023,11.63687221228827,5.7207653224943895
0.1,0.02,10.0,38.81153194769334,11.622200359997969,5.726632777084398
0.1,0.02,11.0,38.676292336888444,11.62101153019561,5.627275179588698
0.1,0.02,12.0,38.803326034357944,11.629944521654883,5.7234360296758835
0.1,0.02,13.0,38.71067942597222,11.637458433229966,5.7241284577710445
0.1,0.02,14.0,38.399643715618126,12.093873416718912,5.724326218284839
0.1,0.02,15.0,38.7968315262768,11.624402775193559,5.722891768690645
0.1,0.02,16.0,38.83365248052824,11.628078425798767,5.724068786875204
0.1,0.02,17.0,38.81226916945858,11.626538524742411,5.726857370741477
0.1,0.02,18.0,38.759883756395865,11.632484997970002,5.723020631656789
0.1,0.02,19.0,38.66340123135829,12.09861342430155,5.724718490705017
0.1,0.02,20.0,38.682898244699224,11.628018862448132,5.627405618174783
0.1,0.02,21.0,38.790311342727264,11.617515222614836,5.725322658475108
0.1,0.02,22.0,38.829522975396884,11.621514454472702,5.7257648327901425
0.1,0.02,23.0,38.83918464973165,11.628632011519917,5.724587266391905
0.1,0.02,24.0,38.610521816121526,11.62468812622156,5.526940192644214
0.1,0.02,25.0,38.68923312931277,11.632735392515889,5.721867729971793
0.1,0.02,26.0,38.689757678936815,11.626031729362452,5.721268085017239
0.1,0.02,27.0,38.41489252865891,11.62095398904632,5.428344117083127
0.1,0.02,28.0,38.737308265226005,11.614438451764332,5.725074039855548
0.1,0.02,29.0,38.53021933052168,11.627408262937127,5.423790464386348
0.1,0.03,0.0,38.63967708564058,11.63147374986241,5.627704101577182
0.1,0.03,1.0,38.59152566491266,11.642338228815886,5.7252725203117745
0.1,0.03,2.0,38.816394957320625,11.619579481104685,5.724710234119568
0.1,0.03,3.0,38.848595858671764,11.625888653390705,5.725419342896479
0.1,0.03,4.0,38.52819537521873,11.644289514738645,5.724796403330062
0.1,0.03,5.0,38.70028870793347,11.62296162245556,5.623055505697554
0.1,0.03,6.0,38.842763818260615,11.622719293363293,5.72490974500882
0.1,0.03,7.0,38.752221985238734,11.635836660663278,5.725328657046252
0.1,0.03,8.0,38.82205118741268,11.631087209749671,5.725108002142717
0.1,0.03,9.0,38.67066623640215,11.630028535693622,5.622695374782903
0.1,0.03,10.0,38.760472521153716,11.63543841398704,5.724992936228317
0.1,0.03,11.0,38.848419920233795,11.62434360189712,5.724823559117105
0.1,0.03,12.0,38.850266326751964,11.625540011012655,5.724994350564601
0.1,0.03,13.0,38.8216144921528,11.628843275890194,5.726330565732024
0.1,0.03,14.0,38.59133430050632,11.617525238466081,5.525055609350815
0.1,0.03,15.0,38.75661286286064,11.616737650024096,5.7264583663375825
0.1,0.03,16.0,38.76042771771148,11.635354418472401,5.72541948399973
0.1,0.03,17.0,38.79248202159506,11.633369031049535,5.72466401665639
0.1,0.03,18.0,38.850187158085326,11.625850018224812,5.725088113509033
0.1,0.03,19.0,38.74874992131121,11.62425875116445,5.624995667994966
0.1,0.03,20.0,38.53783501056196,11.63641159916121,5.525663274808856
0.1,0.03,21.0,38.825251137935844,11.630767470175373,5.72502362291997
0.1,0.03,22.0,38.83933991639708,11.62877652549276,5.725391927708981
0.1,0.03,23.0,38.57240615918956,11.61285791973299,5.626704497576201
0.1,0.03,24.0,38.845372400868264,11.627788504993786,5.725207197360264
0.1,0.03,25.0,38.698292906187206,11.612821902798729,5.725626626809193
0.1,0.03,26.0,38.81531207035143,11.627188484839198,5.726740768859775
0.1,0.03,27.0,38.809927085937524,11.619006322853076,5.7247238332980395
0.1,0.03,28.0,38.844891857744685,11.62749809107472,5.724634227654899
0.1,0.03,29.0,38.72266136934776,11.637246876740111,5.724616622317387
0.1,0.04,0.0,38.63721598225567,11.640782395941864,5.725232386773275
0.1,0.04,1.0,38.85001159413425,11.625004936449477,5.725007278769117
0.1,0.04,2.0,38.50071921045405,12.099353573931367,5.524788640205781
0.1,0.04,3.0,38.83730326373397,11.623895617149346,5.724080354898769
0.1,0.04,4.0,38.6029478544894,11.631611963437154,5.523930506713058
0.1,0.04,5.0,38.69591772605809,11.633947063009726,5.722224378086913
0.1,0.04,6.0,38.744832202724226,11.627285148120372,5.6245535430913565
0.1,0.04,7.0,38.73772878755973,11.62390592620299,5.721917330352845
0.1,0.04,8.0,38.75676663462686,11.635554763315712,5.724666369251502
0.1,0.04,9.0,38.73578097022545,11.62881110432041,5.624393028762755
0.1,0.04,10.0,38.82107127334644,11.631005999148586,5.725448402297609
0.1,0.04,11.0,38.621371444764556,11.620594648981008,5.72075612997954
0.1,0.04,12.0,38.71881150485126,11.629709324690293,5.623860822004436
0.1,0.04,13.0,38.752572605231485,11.627699951128251,5.727923431786096
0.1,0.04,14.0,38.77992219476524,11.634262891171357,5.72480729923404
0.1,0.04,15.0,38.824555304953265,11.627068630533044,5.723598301663888
0.1,0.04,16.0,38.850101074911805,11.625994126899432,5.725017662590462
0.1,0.04,17.0,38.83555383658171,11.628885292523856,5.725675007696061
0.1,0.04,18.0,38.80883169734611,11.632180466134221,5.7247395535987975
0.1,0.04,19.0,38.84320780984008,11.625721188106743,5.724253837183406
0.1,0.04,20.0,38.4922237515191,11.624500860812761,5.5212409099928115
0.1,0.04,21.0,38.842504109199226,11.628440665905316,5.725134081289089
0.1,0.04,22.0,38.846793218496025,11.62682811183526,5.725463789172917
0.1,0.04,23.0,38.68416693572768,11.639006333620278,5.7249821719777545
0.1,0.04,24.0,38.683135016165856,11.63348584314826,5.625959909531116
0.1,0.04,25.0,38.793740175415884,11.633386912914116,5.725146679028256
0.1,0.04,26.0,38.84878830015514,11.62530856829289,5.72468541191608
0.1,0.04,27.0,38.84217810690099,11.622610017579095,5.725181402611039
0.1,0.04,28.0,38.73808283063201,11.636492745993358,5.724594326728919
0.1,0.04,29.0,38.54990686467225,11.625434221592577,5.424858900964543
0.1,0.05,0.0,38.843432305233506,11.628184298863477,5.725247264501289
0.1,0.05,1.0,38.61048829440654,11.620702481098988,5.6217746261192545
0.1,0.05,2.0,38.782556668712004,11.634134272602438,5.724984030911957
